150;97;69;86;Medium (M);1
160;97;84;91;Medium (M);1
168;130;124;130;Large (L);2
168;91;79;104;Medium (M);1
175;81;66;86;Small (S);0
168;99;81;109;Medium (M);1
163;91;74;97;Small (S);0
157;86;71;97;Small (S);0
170;107;91;114;Large (L);2
152;99;76;91;Medium (M);1
160;94;74;97;Medium (M);1
173;107;86;107;Large (L);2
173;94;69;99;Medium (M);1
152;81;71;86;Small (S);0
163;81;66;79;Small (S);0
155;94;97;94;Medium (M);1
157;91;76;107;Medium (M);1
175;86;69;97;Small (S);0
178;86;74;104;Medium (M);1
163;86;74;99;Medium (M);1
168;84;71;86;Small (S);0
170;109;86;117;Large (L);2
157;81;61;76;Small (S);0
160;86;71;94;Small (S);0
157;84;66;81;Small (S);0
165;91;71;76;Medium (M);1
170;97;84;107;Medium (M);1
170;117;97;119;Large (L);2
160;89;71;94;Medium (M);1
157;99;81;122;Large (L);2
178;86;74;104;Medium (M);1
160;91;81;99;Medium (M);1
180;97;79;107;Medium (M);1
157;107;86;107;Large (L);2
157;86;69;94;Medium (M);1
173;91;74;97;Medium (M);1
163;91;76;104;Medium (M);1
157;107;94;112;Large (L);2
178;86;66;97;Medium (M);1
157;99;81;122;Large (L);2
170;91;71;97;Medium (M);1
170;107;94;117;Large (L);2
157;86;71;91;Small (S);0
180;94;79;107;Large (L);2
165;117;91;124;Large (L);2
165;81;64;91;Small (S);0
160;91;76;99;Medium (M);1
157;86;69;94;Small (S);0
165;102;89;117;Large (L);2
163;97;79;104;Large (L);2
163;117;107;119;Large (L);2
165;97;86;102;Medium (M);1
170;104;81;107;Medium (M);1
157;86;71;86;Small (S);0
157;86;71;91;Medium (M);1
165;97;79;109;Medium (M);1
175;86;64;89;Small (S);0
173;104;86;109;Medium (M);1
168;86;64;97;Small (S);0
173;91;69;94;Small (S);0
168;97;86;107;Medium (M);1
152;81;69;89;Medium (M);1
163;86;79;89;Small (S);0
168;94;71;89;Medium (M);1
157;76;66;81;Small (S);0
157;99;81;122;Large (L);2
163;86;64;91;Medium (M);1
150;107;86;122;Large (L);2
170;86;71;91;Small (S);0
175;86;71;94;Small (S);0
168;94;76;109;Medium (M);1
165;84;69;91;Small (S);0
170;84;69;94;Medium (M);1
155;91;71;104;Medium (M);1
168;91;71;94;Medium (M);1
173;84;74;94;Medium (M);1
170;91;74;97;Medium (M);1
160;97;71;102;Medium (M);1
157;127;102;140;Large (L);2
147;91;79;112;Medium (M);1
175;107;107;114;Large (L);2
170;86;69;94;Small (S);0
170;112;81;102;Large (L);2
168;99;74;99;Medium (M);1
168;130;114;137;Large (L);2
163;94;74;107;Small (S);0
168;86;66;86;Small (S);0
168;112;97;132;Large (L);2
168;89;81;94;Medium (M);1
157;91;71;91;Medium (M);1
170;114;102;140;Large (L);2
165;91;74;99;Medium (M);1
163;81;81;94;Small (S);0
160;97;79;102;Medium (M);1
157;86;71;97;Medium (M);1
152;84;69;86;Small (S);0
160;86;66;97;Small (S);0
152;84;69;86;Small (S);0
170;97;76;104;Medium (M);1
178;89;71;91;Medium (M);1
178;89;71;91;Medium (M);1
168;91;76;97;Medium (M);1
157;86;71;97;Medium (M);1
160;81;66;86;Small (S);0
157;86;71;97;Small (S);0
165;91;74;99;Medium (M);1
152;81;61;86;Small (S);0
165;81;64;89;Small (S);0
157;86;71;97;Medium (M);1
175;89;69;94;Small (S);0
152;84;69;86;Small (S);0
170;114;89;114;Large (L);2
173;89;71;91;Medium (M);1
178;97;79;112;Medium (M);1
178;99;76;94;Medium (M);1
168;91;74;97;Medium (M);1
165;94;76;102;Medium (M);1
168;91;76;97;Medium (M);1
163;94;84;104;Medium (M);1
163;91;66;102;Small (S);0
160;112;91;107;Large (L);2
170;127;104;132;Large (L);2
175;97;81;102;Large (L);2
152;91;76;91;Small (S);0
165;97;86;102;Medium (M);1
163;89;74;97;Small (S);0
163;99;79;107;Medium (M);1
152;84;69;86;Small (S);0
165;91;74;102;Medium (M);1
170;79;69;91;Small (S);0
155;122;112;119;Large (L);2
165;81;61;91;Small (S);0
170;84;66;91;Small (S);0
163;91;66;102;Small (S);0
155;86;69;94;Small (S);0
175;102;97;127;Large (L);2
168;86;71;99;Medium (M);1
170;99;81;104;Medium (M);1
165;81;66;91;Small (S);0
157;94;74;97;Medium (M);1
173;97;79;104;Medium (M);1
165;104;81;97;Medium (M);1
160;86;74;94;Medium (M);1
165;81;64;91;Small (S);0
165;94;74;99;Medium (M);1
160;84;76;102;Small (S);0
155;119;97;132;Large (L);2
152;84;69;86;Small (S);0
163;91;66;102;Medium (M);1
160;89;69;91;Medium (M);1
173;91;71;89;Medium (M);1
157;102;81;97;Medium (M);1
155;84;69;94;Medium (M);1
170;91;74;97;Medium (M);1
157;94;71;102;Medium (M);1
163;91;71;91;Medium (M);1
168;86;74;91;Medium (M);1
165;97;74;102;Medium (M);1
160;86;74;94;Medium (M);1
168;112;102;127;Large (L);2
163;97;84;107;Medium (M);1
168;91;74;97;Medium (M);1
163;91;74;97;Small (S);0
175;94;76;102;Medium (M);1
173;89;71;91;Small (S);0
173;91;69;94;Small (S);0
163;86;71;94;Medium (M);1
165;81;64;89;Small (S);0
175;86;64;89;Small (S);0
163;81;64;86;Small (S);0
173;89;71;91;Medium (M);1
157;89;79;99;Medium (M);1
152;102;89;104;Large (L);2
168;94;76;107;Medium (M);1
175;84;66;84;Small (S);0
170;81;69;91;Small (S);0
168;97;81;109;Large (L);2
175;91;86;104;Medium (M);1
168;117;97;119;Large (L);2
160;91;79;104;Medium (M);1
163;81;64;86;Small (S);0
160;89;69;91;Medium (M);1
173;94;71;112;Medium (M);1
165;91;74;91;Medium (M);1
160;81;69;86;Medium (M);1
170;114;89;114;Large (L);2
173;91;69;94;Small (S);0
170;107;91;114;Medium (M);1
173;91;86;119;Large (L);2
168;117;97;119;Large (L);2
165;107;104;122;Large (L);2
163;81;64;86;Small (S);0
170;94;81;97;Medium (M);1
160;94;71;91;Small (S);0
168;102;91;119;Large (L);2
160;104;91;112;Large (L);2
173;91;69;94;Small (S);0
173;91;69;94;Small (S);0
163;89;64;91;Small (S);0
168;89;74;112;Medium (M);1
157;94;74;97;Medium (M);1
165;94;79;102;Medium (M);1
173;91;69;94;Small (S);0
170;81;79;112;Medium (M);1
157;86;61;89;Small (S);0
165;102;76;104;Large (L);2
157;86;69;99;Medium (M);1
157;86;74;97;Small (S);0
163;89;71;97;Medium (M);1
163;94;69;97;Medium (M);1
157;94;74;97;Medium (M);1
157;94;74;97;Medium (M);1
157;74;66;89;Small (S);0
170;91;74;99;Small (S);0
168;89;74;112;Small (S);0
163;89;71;97;Medium (M);1
163;89;71;97;Small (S);0
183;114;94;119;Large (L);2
160;99;91;119;Medium (M);1
163;91;71;91;Medium (M);1
170;91;76;99;Medium (M);1
165;132;107;135;Large (L);2
170;97;74;89;Small (S);0
157;86;74;97;Medium (M);1
157;86;71;97;Medium (M);1
163;89;71;97;Medium (M);1
165;99;79;107;Large (L);2
168;112;102;127;Large (L);2
163;94;79;104;Medium (M);1
160;109;91;114;Large (L);2
160;102;86;109;Large (L);2
155;89;74;76;Small (S);0
173;91;69;94;Small (S);0
168;81;66;81;Small (S);0
168;86;66;91;Medium (M);1
178;89;71;91;Medium (M);1
152;91;76;91;Small (S);0
157;89;79;99;Medium (M);1
163;91;66;102;Small (S);0
168;86;74;99;Medium (M);1
173;109;94;109;Medium (M);1
168;99;74;99;Medium (M);1
160;102;79;107;Medium (M);1
175;102;97;127;Large (L);2
163;91;84;102;Medium (M);1
157;89;79;99;Medium (M);1
157;91;74;104;Medium (M);1
168;112;102;127;Large (L);2
160;91;71;91;Medium (M);1
165;97;84;114;Medium (M);1
163;114;102;119;Large (L);2
170;109;94;117;Large (L);2
152;119;94;114;Large (L);2
152;99;76;91;Medium (M);1
173;76;61;81;Small (S);0
168;112;94;114;Large (L);2
163;91;84;102;Medium (M);1
173;91;69;94;Small (S);0
168;89;71;91;Medium (M);1
168;107;99;119;Large (L);2
168;91;74;81;Medium (M);1
163;89;71;97;Medium (M);1
173;97;84;104;Medium (M);1
173;122;97;130;Large (L);2
157;84;69;89;Small (S);0
170;81;71;97;Small (S);0
160;99;91;104;Medium (M);1
160;81;69;99;Small (S);0
165;107;91;114;Large (L);2
168;99;81;112;Large (L);2
157;81;66;94;Small (S);0
163;86;74;99;Medium (M);1
160;102;86;109;Large (L);2
157;86;71;97;Medium (M);1
